"Supervisor - Member Relations, Pension Sales & Distribution",Kwun Tong,https://hk.jobsdb.com/hk/en/job/supervisor-member-relations-pension-sales-distribution-100003006011950,Non-Degree Tertiary,Middle,null
Sales Executive,Wong Tai Sin Area,https://hk.jobsdb.com/hk/en/job/sales-executive-100003006011949,Degree,Entry Level,Salary provided
Senior Sales 高級售貨員 / Sales 售貨員 (全職/兼職),Location not specified,https://hk.jobsdb.com/hk/en/job/senior-sales-%e9%ab%98%e7%b4%9a%e5%94%ae%e8%b2%a8%e5%93%a1-sales-%e5%94%ae%e8%b2%a8%e5%93%a1-100003006011942,School Certificate,Entry Level,Salary negotiable
Customer Service Agent (Airline reservation - Air Cargo),Lantau Island,https://hk.jobsdb.com/hk/en/job/customer-service-agent-100003006011936,Matriculated,Entry Level,Salary negotiable
Customer Services Officer / 經理助理,Wan Chai,https://hk.jobsdb.com/hk/en/job/customer-services-officer-%e7%b6%93%e7%90%86%e5%8a%a9%e7%90%86-100003006011932,School Certificate,Full Time,Salary provided
Sales Assistant / Sales Coordinator / 跟單文員,Kwun Tong,https://hk.jobsdb.com/hk/en/job/sales-assistant-sales-coordinator-%e8%b7%9f%e5%96%ae%e6%96%87%e5%93%a1-100003006011922,School Certificate,Middle,Salary negotiable
Administrative Assistant,Ngau Tau Kok,https://hk.jobsdb.com/hk/en/job/administrative-assistant-100003006011913,Non-Degree Tertiary,Entry Level,Salary provided
Wealth management and Protection Manager/ Financial Planner,Kowloon City,https://hk.jobsdb.com/hk/en/job/wealth-management-and-protection-manager-financial-planner-100003006011910,Degree,Full Time,"HK$14,000 - 30,000 /month (includes high commission)"
Wealth management and Protection Manager/ Financial Planner,Kowloon Bay,https://hk.jobsdb.com/hk/en/job/wealth-management-and-protection-manager-financial-planner-100003006011909,Degree,Full Time,"HK$14,000 - 30,000 /month (includes high commission)"
Assistant Customer Service Officer/Customer Service Officer,Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/assistant-customer-service-officer-customer-service-officer-100003006011893,Non-Degree Tertiary,Entry Level,Salary negotiable
"Account Manager / Senior Account Manager (Digital Media - F&B, Beauty & Fashion, Lifestyle) 35-50K",Location not specified,https://hk.jobsdb.com/hk/en/job/account-manager-senior-account-manager-100003006011862,Degree,Middle,Base salary + high commission
"Customer Service Representative (Tourism/Travel /Airline - Call Centre) 14-17K, 5Days Work",Location not specified,https://hk.jobsdb.com/hk/en/job/customer-service-representative-100003006011860,Matriculated,Entry Level,"HK$14,000 - 17,000 /month"
Airline Customer Service Officer/Ground Crew 客戶服務主任 ( 航 空 公 司 – 服 務 專 櫃／ 貴 賓 室 ) 15-16K 歡迎應屆畢業生,Airport Area,https://hk.jobsdb.com/hk/en/job/airline-customer-service-officer-ground-crew-%e5%ae%a2%e6%88%b6%e6%9c%8d%e5%8b%99%e4%b8%bb%e4%bb%bb-%e6%ad%a1%e8%bf%8e%e6%87%89%e5%b1%86%e7%95%a2%e6%a5%ad%e7%94%9f-100003006011861,Non-Degree Tertiary,Entry Level,Salary provided
Sales Administrator,North Point,https://hk.jobsdb.com/hk/en/job/sales-administrator-100003006011727,Matriculated,Entry Level,Salary negotiable
Sales representative (5 days working),Kowloon Bay,https://hk.jobsdb.com/hk/en/job/sales-representative-100003006011855,Non-Degree Tertiary,Full Time,"HK$14,000 - 20,000 /month (negotiable)"
SALES CONSULTANT / SUPERVISOR / MANAGER   ( BRANCH ),Location not specified,https://hk.jobsdb.com/hk/en/job/sales-consultant-supervisor-manager-100003006011845,School Certificate,"Full Time, Permanent",Base salary + high commission
Management Trainee (graduates MT),North Point,https://hk.jobsdb.com/hk/en/job/management-trainee-100003006011841,Degree,Entry Level,"HK$11,000 - 20,000 /month (negotiable)"
CLERK  (DOCUMENTS),North Point,https://hk.jobsdb.com/hk/en/job/clerk-100003006011843,School Certificate,Entry Level,Salary negotiable
Shop Manager / Sales Supervisor  店舖經理 / 主任,Location not specified,https://hk.jobsdb.com/hk/en/job/shop-manager-sales-supervisor-%e5%ba%97%e8%88%96%e7%b6%93%e7%90%86-%e4%b8%bb%e4%bb%bb-100003006011835,Non-Degree Tertiary,Senior,Salary provided
Sales Ordering Clerk (柯打部文員),Tuen Mun Area,https://hk.jobsdb.com/hk/en/job/sales-ordering-clerk-100003006011830,School Certificate,Entry Level,Salary negotiable
Senior Sales Manager (Solution),North Point,https://hk.jobsdb.com/hk/en/job/senior-sales-manager-100003006011826,Degree,Entry Level,Salary negotiable
"Senior Manager / Associate Director, Sales & Marketing",North Point,https://hk.jobsdb.com/hk/en/job/senior-manager-associate-director-sales-marketing-100003006011823,Degree,Senior,Salary provided
Sales & Merchandising Manager (Garment Accessories),Shatin Area,https://hk.jobsdb.com/hk/en/job/sales-merchandising-manager-100003006011814,null,Full Time,Salary negotiable
Customer Sales Officer,Causeway Bay,https://hk.jobsdb.com/hk/en/job/customer-sales-officer-100003006011808,null,Full Time,Salary negotiable
"Wealth Management Trainee ( 15K above, IANG welcome )",Location not specified,https://hk.jobsdb.com/hk/en/job/wealth-management-trainee-100003006011806,School Certificate,Entry Level,Salary provided
Sales & Marketing Executive,Shatin Area,https://hk.jobsdb.com/hk/en/job/sales-marketing-executive-100003006011804,Degree,Entry Level,Salary negotiable
Senior Sales Executive - Toys,Ngau Tau Kok,https://hk.jobsdb.com/hk/en/job/senior-sales-executive-toys-100003006011779,Degree,Middle,Salary negotiable
Store Manager,Causeway Bay,https://hk.jobsdb.com/hk/en/job/store-manager-100003006011766,null,Full Time,Salary provided
Front Desk Customer Service Officer (@ Whampoa Garden  $13-15K),Hung Hom,https://hk.jobsdb.com/hk/en/job/front-desk-customer-service-officer-100003006011767,(N/A),Middle,"HK$11,000 - 17,000 /month"
Sales Associate/ Senior Sales Associate,Causeway Bay,https://hk.jobsdb.com/hk/en/job/sales-associate-senior-sales-associate-100003006011752,null,Full Time,Salary provided
SENIOR CUSTOMER RELATIONS EXECUTIVE,Location not specified,https://hk.jobsdb.com/hk/en/job/senior-customer-relations-executive-100003006011741,Non-Degree Tertiary,Middle,Salary negotiable
Warehouse Assistant,Shatin Area,https://hk.jobsdb.com/hk/en/job/warehouse-assistant-100003006011740,School Certificate,Entry Level,Salary negotiable
Shop Manager/Assistant Shop Manager/Senior Sales/Sales - Taikoo,Tai Koo,https://hk.jobsdb.com/hk/en/job/shop-manager-assistant-shop-manager-senior-sales-sales-taikoo-100003006011728,null,"Full Time, Part Time, Temporary",Base salary + high commission
Assistant Customer Service Officer,Chai Wan,https://hk.jobsdb.com/hk/en/job/assistant-customer-service-officer-100003006011716,Degree,Middle level,Salary negotiable
Receptionist (Client Services Department),Central & Western Area,https://hk.jobsdb.com/hk/en/job/receptionist-100003006011715,Matriculated,Entry Level,Salary provided
Sales Assistant 销售助理,Kwun Tong,https://hk.jobsdb.com/hk/en/job/sales-assistant-%e9%94%80%e5%94%ae%e5%8a%a9%e7%90%86-100003006011711,School Certificate,Middle,Base salary + high commission
Dynamic Sales (3-4 years experience),Location not specified,https://hk.jobsdb.com/hk/en/job/dynamic-sales-100003006011710,Degree,Middle level,Salary provided
客戶服務代表 Customer Service Representative,Kwai Fong,https://hk.jobsdb.com/hk/en/job/%e5%ae%a2%e6%88%b6%e6%9c%8d%e5%8b%99%e4%bb%a3%e8%a1%a8-customer-service-representative-100003006011709,School Certificate,Entry Level,Salary negotiable
Senior Sales Director (Liquor) 高级销售总监（酒水类）,Kwun Tong,https://hk.jobsdb.com/hk/en/job/senior-sales-director-%e9%ab%98%e7%ba%a7%e9%94%80%e5%94%ae%e6%80%bb%e7%9b%91-100003006011708,Degree,Senior,Base salary + high commission
Sales Executive - Urgent,Kwai Fong,https://hk.jobsdb.com/hk/en/job/sales-executive-100003006011703,School Certificate,Entry Level,Salary negotiable
