AUDIT Junior/Trainee (Fresh Graduate Welcome),Sheung Wan,https://hk.jobsdb.com/hk/en/job/audit-junior-trainee-100003006011581,null,Salary negotiable
"Financial Analyst, Hong Kong (FMCG)",Location not specified,https://hk.jobsdb.com/hk/en/job/financial-analyst-hong-kong-100003006011580,Degree,Salary negotiable
Accounting Assistant,Central,https://hk.jobsdb.com/hk/en/job/accounting-assistant-100003006011576,Matriculated,Salary provided
理財策劃主任 / 經理    Financial Planning Officer / Manager / Management Trainee,Kwun Tong,https://hk.jobsdb.com/hk/en/job/%e7%90%86%e8%b2%a1%e7%ad%96%e5%8a%83%e4%b8%bb%e4%bb%bb-%e7%b6%93%e7%90%86-financial-planning-officer-manager-management-trainee-100003006011571,null,Base salary + high commission
Accounting Assistant / Clerk (Job Ref: ACC01),Tai Po Area,https://hk.jobsdb.com/hk/en/job/accounting-assistant-clerk-100003006011546,Non-Degree Tertiary,null
Accountant - GL,Shatin Area,https://hk.jobsdb.com/hk/en/job/accountant-gl-100003006011527,Degree,Salary provided
Assistant Accountant – Product Accounting,Shatin Area,https://hk.jobsdb.com/hk/en/job/assistant-accountant-product-accounting-100003006011526,Non-Degree Tertiary,Salary provided
Senior Corporate Auditor - Regional,Shatin Area,https://hk.jobsdb.com/hk/en/job/senior-corporate-auditor-regional-100003006011525,Degree,Salary provided
Assistant Finance Manager (HK listed Co.),Location not specified,https://hk.jobsdb.com/hk/en/job/assistant-finance-manager-100003006011521,Degree,Salary provided
Financial Controller,Tsuen Wan Area,https://hk.jobsdb.com/hk/en/job/financial-controller-100003006011498,Degree,Salary provided
Audit Case Officers - All Grade (5 days works),Lai Chi Kok,https://hk.jobsdb.com/hk/en/job/audit-case-officers-all-grade-100003006011491,Non-Degree Tertiary,"HK$11,000 - 20,000 /month (negotiable)"
财富管理顾问/ 财富管理经理 Wealth Management & Protection Management (Internship / IANG Program),Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/%e8%b4%a2%e5%af%8c%e7%ae%a1%e7%90%86%e9%a1%be%e9%97%ae-%e8%b4%a2%e5%af%8c%e7%ae%a1%e7%90%86%e7%bb%8f%e7%90%86-wealth-management-protection-management-100003006011487,Postgraduate,Base salary + high commission
Assistant Accountant / Accountant,Location not specified,https://hk.jobsdb.com/hk/en/job/assistant-accountant-accountant-100003006011470,Non-Degree Tertiary,Salary negotiable
Assistant Accounting Manager (Ref: GB8020-00-JDB),Central,https://hk.jobsdb.com/hk/en/job/assistant-accounting-manager-100003006011462,Degree,Salary provided
Assistant Financial Management Manager - Regulatory Reporting (Ref: GC8012-RR-JDB),Central & Western Area,https://hk.jobsdb.com/hk/en/job/assistant-financial-management-manager-regulatory-reporting-100003006011463,Degree,Salary negotiable
Senior Audit Manager – Credit or Treasury Business (Ref: BB8008-CB-JDB),Central & Western Area,https://hk.jobsdb.com/hk/en/job/senior-audit-manager-credit-or-treasury-business-100003006011458,Degree,Salary provided
Audit Junior / Semi-Senior/ Senior,Central & Western Area,https://hk.jobsdb.com/hk/en/job/audit-junior-semi-senior-senior-100003006011397,Degree,Salary provided
Accounting Manager,Central & Western Area,https://hk.jobsdb.com/hk/en/job/accounting-manager-100003006011225,Degree,Salary negotiable
Accountant/ Assistant Account/ Sr. Account Clerk X 4  - Top Urgent,Yau Tsim Mong Area,https://hk.jobsdb.com/hk/en/job/accountant-assistant-account-sr-account-clerk-100003006011134,Degree,Salary negotiable
Senior Accounts Clerk (18-mth contract) (REF: FIN/SAC),North Point,https://hk.jobsdb.com/hk/en/job/senior-accounts-clerk-100003006011026,null,Salary provided
Senior Accountant,Central,https://hk.jobsdb.com/hk/en/job/senior-accountant-100003006010901,Degree,Salary provided
Accountant (REF: FIN/A/Report),North Point,https://hk.jobsdb.com/hk/en/job/accountant-100003006011018,Degree,Salary provided
Personnel  Assistant (Central Payroll),Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/personnel-assistant-100003006010982,Non-Degree Tertiary,null
Internal Audit Officer / Assistant Officer,Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/internal-audit-officer-assistant-officer-100003006010925,Degree,null
Investment Research Officer/Assistant,Central,https://hk.jobsdb.com/hk/en/job/investment-research-officer-assistant-100003006010972,Degree,null
Property Portfolio Planning & Coordination Officer / Assistant Officer,Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/property-portfolio-planning-coordination-officer-assistant-officer-100003006010911,Degree,null
Investment Analyst,Central,https://hk.jobsdb.com/hk/en/job/investment-analyst-100003006010912,Degree,null
Junior Accounts Clerk,Lai Chi Kok,https://hk.jobsdb.com/hk/en/job/junior-accounts-clerk-100003006009700,null,Salary provided
Accounts Clerk,Location not specified,https://hk.jobsdb.com/hk/en/job/accounts-clerk-100003006010561,Non-Degree Tertiary,Salary provided
Accounting Officer (Ref: AO/J),Location not specified,https://hk.jobsdb.com/hk/en/job/accounting-officer-100003006007512,Matriculated,null
Accounting Manager,Location not specified,https://hk.jobsdb.com/hk/en/job/accounting-manager-100003006010393,Degree,Salary provided
General Clerk/Office Assistant,Wan Chai,https://hk.jobsdb.com/hk/en/job/general-clerk-office-assistant-100003006010445,School Certificate,Salary negotiable
AUDIT SENIORS / SUPERVISORS / JUNIORS,North Point,https://hk.jobsdb.com/hk/en/job/audit-seniors-supervisors-juniors-100003006010061,Degree,Salary negotiable
