Receptionist / Admin. Assistant,Ngau Tau Kok,https://hk.jobsdb.com/hk/en/job/receptionist-admin-assistant-100003006011911,Non-Degree Tertiary,Salary provided
Administrative Executive/Administrative Assistant,Ngau Tau Kok,https://hk.jobsdb.com/hk/en/job/administrative-executive-administrative-assistant-100003006011912,Non-Degree Tertiary,Salary provided
General Office Clerk / 店舖文員,Location not specified,https://hk.jobsdb.com/hk/en/job/general-office-clerk-%e5%ba%97%e8%88%96%e6%96%87%e5%93%a1-100003006011906,School Certificate,Salary provided
Administrator / Clerk,Kwun Tong,https://hk.jobsdb.com/hk/en/job/administrator-clerk-100003006011905,Non-Degree Tertiary,Salary negotiable
Junior Accounts Clerk,Wan Chai,https://hk.jobsdb.com/hk/en/job/junior-accounts-clerk-100003006011889,School Certificate,Salary provided
Project Secretary / Project Administrator - Interior design Company (5 days work),Quarry Bay,https://hk.jobsdb.com/hk/en/job/project-secretary-project-administrator-interior-design-company-100003006011882,School Certificate,Salary provided
Assistant HR & Admin Officer,Kwun Tong,https://hk.jobsdb.com/hk/en/job/assistant-hr-admin-officer-100003006011858,School Certificate,Salary negotiable
Sales Administrator,North Point,https://hk.jobsdb.com/hk/en/job/sales-administrator-100003006011727,Matriculated,Salary negotiable
CLERK  (DOCUMENTS),North Point,https://hk.jobsdb.com/hk/en/job/clerk-100003006011843,School Certificate,Salary negotiable
HR & Administration Officer,Hung Hom,https://hk.jobsdb.com/hk/en/job/hr-administration-officer-100003006011832,Non-Degree Tertiary,Salary negotiable
Personal Assistant to CEO,Location not specified,https://hk.jobsdb.com/hk/en/job/personal-assistant-to-ceo-100003006011829,null,Salary provided
Company Secretary Officer / Assistant,Central,https://hk.jobsdb.com/hk/en/job/company-secretary-officer-assistant-100003006011824,Non-Degree Tertiary,Salary negotiable
Assistant Human Resources & Training Officer,Shatin Area,https://hk.jobsdb.com/hk/en/job/assistant-human-resources-training-officer-100003006011810,Degree,Salary provided
Customer Sales Officer,Causeway Bay,https://hk.jobsdb.com/hk/en/job/customer-sales-officer-100003006011808,null,Salary negotiable
Administration & Operations Supervisor/ Administration & Operations Officer,Lai Chi Kok,https://hk.jobsdb.com/hk/en/job/administration-operations-supervisor-administration-operations-officer-100003006011805,Non-Degree Tertiary,Salary negotiable
Admin Clerk,Quarry Bay,https://hk.jobsdb.com/hk/en/job/admin-clerk-100003006011783,School Certificate,Salary negotiable
Secretary to District Director,Quarry Bay,https://hk.jobsdb.com/hk/en/job/secretary-to-district-director-100003006011782,School Certificate,Salary negotiable
Senior HR Officer (APAC),Location not specified,https://hk.jobsdb.com/hk/en/job/senior-hr-officer-100003006011778,Degree,Salary provided
Regional HR Manager,Location not specified,https://hk.jobsdb.com/hk/en/job/regional-hr-manager-100003006011777,Degree,Salary provided
"***$12,000 - $50,000 ***财富管理经理 (欢迎内地来港应届学士/硕士毕业生)",Quarry Bay,https://hk.jobsdb.com/hk/en/job/%e8%b4%a2%e5%af%8c%e7%ae%a1%e7%90%86%e7%bb%8f%e7%90%86-100003006011769,null,Base salary + high commission
Front Desk Customer Service Officer (@ Whampoa Garden  $13-15K),Hung Hom,https://hk.jobsdb.com/hk/en/job/front-desk-customer-service-officer-100003006011767,(N/A),"HK$11,000 - 17,000 /month"
Clerk,Tsuen Wan Area,https://hk.jobsdb.com/hk/en/job/clerk-100003006011758,School Certificate,Salary negotiable
資料輸入員,Cheung Sha Wan,https://hk.jobsdb.com/hk/en/job/%e8%b3%87%e6%96%99%e8%bc%b8%e5%85%a5%e5%93%a1-100003006011757,School Certificate,Salary provided
Administrative Assistant,Yau Tsim Mong Area,https://hk.jobsdb.com/hk/en/job/administrative-assistant-100003006011754,Non-Degree Tertiary,Salary provided
Assistant to CFO,Kowloon Bay,https://hk.jobsdb.com/hk/en/job/assistant-to-cfo-100003006011726,null,Salary provided
Administrative Assistant,Southern Area,https://hk.jobsdb.com/hk/en/job/administrative-assistant-100003006011721,null,Salary negotiable
Receptionist (Client Services Department),Central & Western Area,https://hk.jobsdb.com/hk/en/job/receptionist-100003006011715,Matriculated,Salary provided
Dynamic Sales (3-4 years experience),Location not specified,https://hk.jobsdb.com/hk/en/job/dynamic-sales-100003006011710,Degree,Salary provided
General Clerk 文員,Chai Wan,https://hk.jobsdb.com/hk/en/job/general-clerk-%e6%96%87%e5%93%a1-100003006011699,School Certificate,"HK$11,000 - 14,000 /month (negotiable)"
會計文員 Accounts Clerk,Kwai Tsing Area,https://hk.jobsdb.com/hk/en/job/%e6%9c%83%e8%a8%88%e6%96%87%e5%93%a1-accounts-clerk-100003006011681,School Certificate,Salary negotiable
Administration Clerk,Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/administration-clerk-100003006011678,null,Salary negotiable
Admin Assistant (Part Time),Yuen Long Area,https://hk.jobsdb.com/hk/en/job/admin-assistant-100003006011669,Matriculated,Salary provided
Administration Clerk,Admiralty,https://hk.jobsdb.com/hk/en/job/administration-clerk-100003006011651,School Certificate,Salary provided
Assistant Executive Officer (6-month contract),Wan Chai,https://hk.jobsdb.com/hk/en/job/assistant-executive-officer-100003006011648,Degree,Salary negotiable
Administration & Personnel Manager,Kowloon Bay,https://hk.jobsdb.com/hk/en/job/administration-personnel-manager-100003006011647,Degree,Salary negotiable
Administrative Clerk /  行政文員  (學歷不限 月薪 10K-12K),Kowloon City,https://hk.jobsdb.com/hk/en/job/administrative-clerk-%e8%a1%8c%e6%94%bf%e6%96%87%e5%93%a1-100003006011645,(N/A),Salary provided
Corporate HR Manager - HK & China (AZ18027),Others,https://hk.jobsdb.com/hk/en/job/corporate-hr-manager-hk-china-100003006011640,Degree,"HK$45,000 - 70,000 /month"
HR Manager - Manufacturing (AZ18028),Others,https://hk.jobsdb.com/hk/en/job/hr-manager-manufacturing-100003006011639,Degree,"HK$30,000 - 45,000 /month"
Human Resources Officer - C&B (AZ18030),Others,https://hk.jobsdb.com/hk/en/job/human-resources-officer-compensation-and-benefits-100003006008143,Degree,"HK$20,000 - 30,000 /month"
Human Resources Administrator / Secretary - C&B (AZ18031),Others,https://hk.jobsdb.com/hk/en/job/human-resources-administrator-secretary-compensation-and-benefits-100003006008161,Degree,"HK$17,000 - 20,000 /month"
Storekeeper (地盤收貨員),Location not specified,https://hk.jobsdb.com/hk/en/job/storekeeper-100003006011632,Form 3,Salary provided
Site Clerks,Location not specified,https://hk.jobsdb.com/hk/en/job/site-clerks-100003006011611,School Certificate,Salary provided
Funds Team Legal Secretary – International Law Firm (HK$25 - 30K),Central,https://hk.jobsdb.com/hk/en/job/funds-team-legal-secretary-international-law-firm-100003006011604,null,Salary provided
Legal Secretary to MP (IPO) – International Law Firm (HK$30 - 33K),Central,https://hk.jobsdb.com/hk/en/job/legal-secretary-to-mp-international-law-firm-100003006011602,null,Salary provided
Administration & I.T. Support Officer (JD0324AIT18),Causeway Bay,https://hk.jobsdb.com/hk/en/job/administration-it-support-officer-100003006011600,Non-Degree Tertiary,Salary provided
Relief Secretary – International Law Firm (HK$30 - 32K),Central & Western Area,https://hk.jobsdb.com/hk/en/job/relief-secretary-international-law-firm-100003006011597,null,Salary provided
Office Assistant – Professional Firm (HK$11 - 14K),Central,https://hk.jobsdb.com/hk/en/job/office-assistant-professional-firm-100003006011598,null,Salary negotiable
"** Manager/Assistant Manager **  (Management Grade $25,000 - $35,000 above plus bonus / 5 Days Work)",Others,https://hk.jobsdb.com/hk/en/job/manager-assistant-manager-100003006011596,School Certificate,Salary provided
Site Clerk,Location not specified,https://hk.jobsdb.com/hk/en/job/site-clerk-100003006011585,School Certificate,null
Account Assistant / General Clerk,Kowloon Bay,https://hk.jobsdb.com/hk/en/job/account-assistant-general-clerk-100003006011582,School Certificate,Salary negotiable
理財策劃主任 / 經理    Financial Planning Officer / Manager / Management Trainee,Kwun Tong,https://hk.jobsdb.com/hk/en/job/%e7%90%86%e8%b2%a1%e7%ad%96%e5%8a%83%e4%b8%bb%e4%bb%bb-%e7%b6%93%e7%90%86-financial-planning-officer-manager-management-trainee-100003006011571,null,Base salary + high commission
Admin Officer-Projects,Location not specified,https://hk.jobsdb.com/hk/en/job/admin-officer-projects-100003006011564,Degree,Salary provided
Human Resources & Administration Officer,Shatin Area,https://hk.jobsdb.com/hk/en/job/human-resources-administration-officer-100003006011533,Non-Degree Tertiary,Salary negotiable
Conveyancing Clerk,Central,https://hk.jobsdb.com/hk/en/job/conveyancing-clerk-100003006011514,School Certificate,Salary provided
理財顧問 / 副理財策劃經理 (IANG Welcome 欢迎非本地在港的毕业生）,Location not specified,https://hk.jobsdb.com/hk/en/job/%e7%90%86%e8%b2%a1%e9%a1%a7%e5%95%8f-%e5%89%af%e7%90%86%e8%b2%a1%e7%ad%96%e5%8a%83%e7%b6%93%e7%90%86-100003006011511,Degree,"HK$14,000 - 35,000 /month"
Personal Executive Assistant,Tin Hau,https://hk.jobsdb.com/hk/en/job/personal-executive-assistant-100003006011510,Degree,Salary provided
Senior Administration Clerk / Administration Clerk,Location not specified,https://hk.jobsdb.com/hk/en/job/senior-administration-clerk-administration-clerk-100003006011504,Non-Degree Tertiary,Salary negotiable
Senior Human Resources Officer / HR Officer (Recruitment),Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/senior-human-resources-officer-hr-officer-100003006011488,Degree,Salary negotiable
秘書助理,Tsim Sha Tsui,https://hk.jobsdb.com/hk/en/job/%e7%a7%98%e6%9b%b8%e5%8a%a9%e7%90%86-100003006011486,null,Salary negotiable
助理文員 Clerical Assistant,Location not specified,https://hk.jobsdb.com/hk/en/job/%e5%8a%a9%e7%90%86%e6%96%87%e5%93%a1-clerical-assistant-100003006011477,School Certificate,Salary negotiable
Training Events Officer,Location not specified,https://hk.jobsdb.com/hk/en/job/training-events-officer-100003006011464,null,Salary negotiable
Assistant Administrative Officer,Tsuen Wan Area,https://hk.jobsdb.com/hk/en/job/assistant-administrative-officer-100003006011465,null,Salary provided
Customer Services Officer (Counter Operations) (Ref: NF8008-00-JDB),Location not specified,https://hk.jobsdb.com/hk/en/job/customer-services-officer-100003006011454,Non-Degree Tertiary,Salary provided
Clerk (Ref: HC8010-00-JDB),Location not specified,https://hk.jobsdb.com/hk/en/job/clerk-100003006011455,School Certificate,Salary negotiable
Boutique Coordinator,Location not specified,https://hk.jobsdb.com/hk/en/job/boutique-coordinator-100003006011434,Matriculated,Salary negotiable
SHIPPING CLERK,Tsuen Wan Area,https://hk.jobsdb.com/hk/en/job/shipping-clerk-100003006011408,School Certificate,Salary negotiable
Junior Secretary/ Clerk,Central & Western Area,https://hk.jobsdb.com/hk/en/job/junior-secretary-clerk-100003006011398,Non-Degree Tertiary,Salary provided
Administrative Assistant (Temporary - 6 months),Kwai Tsing Area,https://hk.jobsdb.com/hk/en/job/administrative-assistant-100003006011387,School Certificate,Salary negotiable
